b'Date,Open,High,Low,Close,Volume,Adj Close
2014-05-28,34.59,34.59,34.59,34.59,100,31.721236
2014-05-27,34.59,34.59,34.59,34.59,100,31.721236
2014-05-23,34.130001,34.130001,34.130001,34.130001,1000,31.299388
2014-05-22,34.00,34.00,33.75,33.75,900,30.950902
2014-05-21,33.75,33.75,33.75,33.75,100,30.950902
2014-05-20,33.75,33.75,33.75,33.75,300,30.950902
2014-05-19,33.27,33.27,33.27,33.27,000,30.510712
2014-05-16,33.27,33.27,33.27,33.27,000,30.510712
2014-05-15,33.27,33.27,33.27,33.27,000,30.510712
2014-05-14,33.27,33.27,33.27,33.27,000,30.510712
2014-05-13,33.27,33.27,33.27,33.27,000,30.510712
2014-05-12,33.27,33.27,33.27,33.27,100,30.510712
2014-05-09,34.00,34.00,34.00,34.00,000,31.180168
2014-05-08,34.00,34.00,34.00,34.00,2000,31.180168
2014-05-07,32.650002,32.650002,32.650002,32.650002,000,29.942134
2014-05-06,32.650002,32.650002,32.650002,32.650002,000,29.942134
2014-05-05,33.75,33.75,32.650002,32.650002,2900,29.942134
2014-05-02,33.50,33.75,33.50,33.50,300,30.721636
2014-05-01,32.799999,32.799999,32.799999,32.799999,1900,30.079691
2014-04-30,32.77,32.77,32.77,32.77,000,30.05218
2014-04-29,33.00,33.00,32.77,32.77,1100,30.05218
2014-04-28,33.200001,33.200001,32.75,32.75,900,30.033839
2014-04-25,33.950001,33.950001,33.950001,33.950001,200,31.134316
2014-04-24,33.200001,33.50,33.200001,33.50,300,30.721636
2014-04-23,33.169998,33.169998,33.169998,33.169998,000,30.419004
2014-04-22,33.25,33.25,33.169998,33.169998,800,30.419004
2014-04-21,33.41,33.41,33.25,33.25,1500,30.49237
2014-04-17,34.25,34.25,34.25,34.25,000,31.409434
2014-04-16,34.25,34.25,34.25,34.25,000,31.409434
2014-04-15,34.25,34.25,34.25,34.25,100,31.409434
2014-04-14,33.41,33.41,33.41,33.41,000,30.345639
2014-04-11,33.41,33.41,33.41,33.41,100,30.345639
2014-04-10,33.509998,33.509998,33.400002,33.400002,400,30.336558
2014-04-09,33.50,33.50,33.50,33.50,1900,30.427384
2014-04-08,33.57,33.57,33.57,33.57,500,30.490964
2014-04-07,33.57,33.57,33.57,33.57,000,30.490964
2014-04-04,33.57,33.57,33.57,33.57,300,30.490964
2014-04-03,33.599998,33.599998,33.599998,33.599998,000,30.518211
2014-04-02,33.599998,33.599998,33.599998,33.599998,000,30.518211
2014-04-01,33.599998,33.599998,33.599998,33.599998,200,30.518211
2014-03-31,33.400002,33.400002,33.400002,33.400002,000,30.336558
2014-03-28,33.400002,33.400002,33.400002,33.400002,1100,30.336558
2014-03-27,33.50,33.700001,33.50,33.700001,400,30.609041
2014-03-26,33.700001,33.700001,33.439999,33.439999,2500,30.372886
2014-03-25,33.700001,33.700001,33.700001,33.700001,000,30.609041
2014-03-24,34.00,34.50,33.700001,33.700001,1600,30.609041
2014-03-21,34.00,34.00,33.700001,33.700001,300,30.609041
2014-03-20,34.689999,34.689999,34.00,34.00,3200,30.881525
2014-03-19,34.049999,34.049999,34.049999,34.049999,000,30.926938
2014-03-18,34.25,34.25,34.049999,34.049999,3700,30.926938
2014-03-17,34.849998,34.849998,34.25,34.25,2100,31.108595
2014-03-14,34.549999,34.549999,34.549999,34.549999,000,31.381078
2014-03-13,34.450001,34.549999,34.450001,34.549999,300,31.381078
2014-03-12,34.00,34.00,34.00,34.00,000,30.881525
2014-03-11,34.75,34.75,34.00,34.00,1100,30.881525
2014-03-10,35.00,35.00,35.00,35.00,000,31.789805
2014-03-07,35.00,35.00,35.00,35.00,600,31.789805
2014-03-06,35.00,35.00,35.00,35.00,000,31.789805
2014-03-05,35.00,35.00,35.00,35.00,200,31.789805
2014-03-04,35.119999,35.119999,35.119999,35.119999,000,31.898797
2014-03-03,35.119999,35.119999,35.119999,35.119999,000,31.898797
2014-02-28,35.119999,35.119999,35.119999,35.119999,400,31.898797
2014-02-27,34.299999,34.299999,34.299999,34.299999,000,31.154008
2014-02-26,34.299999,34.299999,34.299999,34.299999,000,31.154008
2014-02-25,34.299999,34.299999,34.299999,34.299999,000,31.154008
2014-02-24,34.299999,34.299999,34.299999,34.299999,000,31.154008
2014-02-21,34.299999,34.299999,34.299999,34.299999,000,31.154008
2014-02-20,35.00,35.00,34.299999,34.299999,300,31.154008
2014-02-19,34.900002,34.900002,34.900002,34.900002,700,31.698978
2014-02-18,34.00,34.00,34.00,34.00,600,30.881525
2014-02-14,35.00,35.00,35.00,35.00,000,31.789805
2014-02-13,35.00,35.00,35.00,35.00,000,31.789805
2014-02-12,35.00,35.00,35.00,35.00,000,31.789805
2014-02-11,35.00,35.00,35.00,35.00,000,31.789805
